商品ID,用户ID,会员等级,总打分数,总回复数,购买时间,评论时间,评论天数间隔,打分,商品名称,评论内容
100008847233 ,16173978325,201,4,20,2021/8/15 0:12,2021/8/21 17:30,6,5,海信(Hisense) 舒适家 3匹 新一级能效 智能自清洁三匹立式柜机客厅空调 京东小家智能生态 KFR-72LW/A390-X1,线上线下看了好几款空调，最后选择了海信空调，外观精致，性价比很高，空调到货后包装完好，师傅安装及时，材料收费合理，安装完毕使用了一天，制冷效果很好，客厅和餐厅50多平米，很凉快。
100008847233 ,16113041317,201,0,6,2021/6/18 15:07,2021/8/10 7:30,53,5,海信(Hisense) 舒适家 3匹 新一级能效 智能自清洁三匹立式柜机客厅空调 京东小家智能生态 KFR-72LW/A390-X1,这款空调超级棒！制冷效果十分给力，我们家客厅大，没想到3匹的也是完全够的，空调样式美观，大气，占地面积小，一级能效耗电最低！
100008847233 ,16695923570,201,3,1,2021/10/26 23:10,2021/11/21 10:43,26,5,海信(Hisense) 舒适家 3匹 新一级能效 智能自清洁三匹立式柜机客厅空调 京东小家智能生态 KFR-72LW/A390-X1,"外形外观：对于人丑还颜控的我来说绝了，不管那种装修风格都适合，金属粉？反正超级好看
冷暖效果：打开一会就热了，完美！
静音效果：不吵
节能省电：一级能效，棒棒哒
产品特色：大，比老家同价位的大多了
送货安装：满意"
100008847233 ,17333759320,201,0,1,2022/3/30 14:33,2022/4/5 15:57,6,5,海信(Hisense) 舒适家 3匹 新一级能效 智能自清洁三匹立式柜机客厅空调 京东小家智能生态 KFR-72LW/A390-X1,"?外观颜值：整体比较小巧的圆柱体，金粉色和白的配色，挺好看的。

?安装配送：包装完好，下单第二天就到，师傅马上约好来安装了，整个过程很快，师傅也很仔细。

?体验感受：制热很快，风量也大。遥控和手机都能控制，很方便，同价位性价比高~"
100008847233 ,17228447031,0,0,2,2022/3/5 17:15,2022/3/9 11:13,4,5,海信(Hisense) 舒适家 3匹 新一级能效 智能自清洁三匹立式柜机客厅空调 京东小家智能生态 KFR-72LW/A390-X1,"外形外观：圆柱的，看起来大气，不占地方
冷暖效果：制热很快，十几分钟就能感受到屋里的热气
静音效果：声音很小，屋里完全听不到机器声音
送货安装：预约准时，师傅安装技术熟练"
100008847233 ,16693173496,0,0,0,2021/11/11 18:56,2021/11/20 18:39,9,5,海信(Hisense) 舒适家 3匹 新一级能效 智能自清洁三匹立式柜机客厅空调 京东小家智能生态 KFR-72LW/A390-X1,"外观很适合我家的风格，制冷制热效果都很好！
安装的师傅很细心。收费也很合理！
下次挂机还买海信的！"
100008847233 ,17346482780,201,0,0,2022/4/4 0:17,2022/4/9 10:55,5,5,海信(Hisense) 舒适家 3匹 新一级能效 智能自清洁三匹立式柜机客厅空调 京东小家智能生态 KFR-72LW/A390-X1,"外形外观：圆柱形的立机，相信海信，物美价廉，发货快，安装也很快，师傅们很专业，务必安全可靠散热好
冷暖效果：试了一下暖风，还不错，有暖气，主要用制冷
静音效果：声音不大，啥时候出新款啊，这款还是比较粗壮啊"
100008847233 ,16610013483,103,2,1,2021/10/21 21:27,2021/11/10 8:30,20,5,海信(Hisense) 舒适家 3匹 新一级能效 智能自清洁三匹立式柜机客厅空调 京东小家智能生态 KFR-72LW/A390-X1,"外形外观：大气，好看，喜欢玫瑰金
冷暖效果：效果很好。非常快
静音效果：内外声音都很小
节能省电：一级效能
产品特色：划算，性价比高
送货安装：送货很快 安装也很划算"
100008847233 ,16528149711,201,0,1,2021/10/18 23:12,2021/10/27 20:00,9,5,海信(Hisense) 舒适家 3匹 新一级能效 智能自清洁三匹立式柜机客厅空调 京东小家智能生态 KFR-72LW/A390-X1,"外形外观：这一款海信圆柱空柜机空调。外形漂亮。玫瑰金颜色很好看。
冷暖效果：冷暖效果还不错，智能很快，速度。高效制热效果也不错，实用。
静音效果：这款柜机噪音不大好用。
节能省电：一级节能，省电。"
100008847233 ,16101318459,201,3,1,2021/8/3 16:41,2021/8/7 8:43,4,5,海信(Hisense) 舒适家 3匹 新一级能效 智能自清洁三匹立式柜机客厅空调 京东小家智能生态 KFR-72LW/A390-X1,空调只买海信的。看来很多型号。这次又一下买了2台柜机。之前就买了海信空调十多台，海信电视也买了十多台。产品质量和外观设计都很满意。主机声音很小，几乎听不到声音，外观材质手感非常好，有档次！而且价格也不贵。京东物流配送很快，第二天就到了，旺季安装很快，服务态度很好。绝对好评
100008847233 ,17911860416,0,0,1,2022/8/12 19:47,2022/8/14 17:02,2,1,海信(Hisense) 舒适家 3匹 新一级能效 智能自清洁三匹立式柜机客厅空调 京东小家智能生态 KFR-72LW/A390-X1,卖到卖的快 喊安装的时候东退西推什么东西
100008847233 ,16712385121,201,1,1,2021/11/6 13:08,2021/11/23 23:27,17,1,海信(Hisense) 舒适家 3匹 新一级能效 智能自清洁三匹立式柜机客厅空调 京东小家智能生态 KFR-72LW/A390-X1,空调还没用，不知道好坏，安装服务也好，就是京东的安装费补贴是个大忽悠，是给客户画大饼，其实就拿不到。
100008847233 ,17601232867,0,1,3,2022/5/31 20:57,2022/6/8 11:46,8,1,海信(Hisense) 舒适家 3匹 新一级能效 智能自清洁三匹立式柜机客厅空调 京东小家智能生态 KFR-72LW/A390-X1,出风动静挺大的，风还可以，客服一问三不知，赠品也不给，然后还说活动不一样，海信的客服真是不敢评价啊
100008847233 ,17597733599,201,0,4,2022/6/4 11:28,2022/6/7 16:42,3,1,海信(Hisense) 舒适家 3匹 新一级能效 智能自清洁三匹立式柜机客厅空调 京东小家智能生态 KFR-72LW/A390-X1,售后服务特别差！送货迟，安装联系不上人
100008847233 ,15112102923,103,4,3,2020/11/9 18:10,2020/12/29 21:40,50,1,海信(Hisense) 舒适家 3匹 新一级能效 智能自清洁三匹立式柜机客厅空调 京东小家智能生态 KFR-72LW/A390-X1,去**的海信，安装的人太垃圾，把我好的东西，装坏了
100008847233 ,17556339354,203,2,1,2022/5/22 19:36,2022/5/30 9:04,8,1,海信(Hisense) 舒适家 3匹 新一级能效 智能自清洁三匹立式柜机客厅空调 京东小家智能生态 KFR-72LW/A390-X1,室外机的噪音太大影响睡觉
100008847233 ,14877831228,0,4,4,2020/10/30 22:47,2020/11/11 9:27,12,1,海信(Hisense) 舒适家 3匹 新一级能效 智能自清洁三匹立式柜机客厅空调 京东小家智能生态 KFR-72LW/A390-X1,辣鸡海信，辣鸡商家，说保价双11我才提前买，买成**，结果双11前两个小时买才**。还跟京东客服各种玩弄规则没法价保。所谓的价保真是个笑话。信了海信，信了京东，全喂了?。
100008847233 ,17797251080,201,1,1,2022/6/26 16:33,2022/7/19 8:52,23,1,海信(Hisense) 舒适家 3匹 新一级能效 智能自清洁三匹立式柜机客厅空调 京东小家智能生态 KFR-72LW/A390-X1,制冷效果极差，永远只在26度，申请售后维修快半个月了，各种推脱不上门，慎重考虑售后
100008847233 ,17629348621,201,0,2,2022/5/20 14:43,2022/6/13 19:38,24,1,海信(Hisense) 舒适家 3匹 新一级能效 智能自清洁三匹立式柜机客厅空调 京东小家智能生态 KFR-72LW/A390-X1,空调安装了，不知道什么原因用了好几天了空调调到最低温度16℃，室内封闭状态3个多小时了，室温还是25℃，师傅安装的时候我还问师傅抽真空了没，他们说不用抽真空，我也就没在意，但是用了好几天了室温就是降不下来，去朋友家别人的就没有这种情况。真是非常失望。
100008847233 ,16139419849,0,4,2,2021/7/3 13:43,2021/8/15 16:02,43,1,海信(Hisense) 舒适家 3匹 新一级能效 智能自清洁三匹立式柜机客厅空调 京东小家智能生态 KFR-72LW/A390-X1,太差了！7月初买的空调，一个月坏了2次，大夏天的根本不制冷。找自营店售后说要找海信售后，海信售后一拖再拖。说好的一年内只换不修，结果明摆着空调质量有问题，一再推脱不给换！真的太垃圾了！！
